,"www.aihw.gov.au
Australian Institute of Health and Welfare
GPO Box 570, Canberra ACT 2601, Australia",,,,,
Time spent in emergency departments ,,,,,,
Measure: Total emergency department presentations,,,,,,
"Data as of: Wednesday, March 15, 2023, version: 2023031506",,,,,,
"The number of presentations (visits) to this hospital’s emergency department. 
Data are shown for total presentations, and by the urgency of the patient’s need for care (their triage category), as assessed by a healthcare professional in the emergency department.

Note: The measure includes presentations with any type of visit code (not just emergency presentations).",,,,,,
,,,,,,
Explanatory notes,,,"Triage 1. Resuscitation (requires immediate treatment, which was defined for this report as commencement of clinical care within 2 minutes from presentation time)",,,
,,,,,,
,,,Triage 2. Emergency (treatment required within 10 minutes),,,
,,,Triage 3. Urgent (treatment required within 30 minutes),,,
,,,Triage 4. Semi-urgent (treatment required within 60 minutes),,,
,,,Triage 5. Non-urgent (treatment recommended within 120 minutes) ,,,
,,,,,,
"Excludes data for the Australian Capital Territory in 2015–16, which were not available for publication. At hospital and LHN level, these are also excluded for years prior to 2015–16.",,,,,,
,,,,,,
Reporting unit,Reporting unit type,State,Year,Triage category,Number of presentations,
National,National,NAT,2011–12,Emergency,"647,788",
National,National,NAT,2012–13,Emergency,"714,124",
National,National,NAT,2013–14,Emergency,"785,791",
National,National,NAT,2014–15,Emergency,"843,443",
National,National,NAT,2015–16,Emergency,"899,906",
National,National,NAT,2016–17,Emergency,"970,883",
National,National,NAT,2017–18,Emergency,"1,043,705",
National,National,NAT,2018–19,Emergency,"1,136,383",
National,National,NAT,2019–20,Emergency,"1,158,156",
National,National,NAT,2020–21,Emergency,"1,256,584",
National,National,NAT,2021–22,Emergency,"1,333,462",
National,National,NAT,2011–12,Non-Urgent,"724,396",
National,National,NAT,2012–13,Non-Urgent,"669,604",
National,National,NAT,2013–14,Non-Urgent,"791,763",
National,National,NAT,2014–15,Non-Urgent,"759,209",
National,National,NAT,2015–16,Non-Urgent,"712,021",
National,National,NAT,2016–17,Non-Urgent,"719,148",
National,National,NAT,2017–18,Non-Urgent,"705,993",
National,National,NAT,2018–19,Non-Urgent,"695,831",
National,National,NAT,2019–20,Non-Urgent,"731,798",
National,National,NAT,2020–21,Non-Urgent,"888,635",
National,National,NAT,2021–22,Non-Urgent,"818,373",
National,National,NAT,2011–12,Resuscitation,"42,634",
National,National,NAT,2012–13,Resuscitation,"45,292",
National,National,NAT,2013–14,Resuscitation,"46,741",
National,National,NAT,2014–15,Resuscitation,"49,035",
National,National,NAT,2015–16,Resuscitation,"52,718",
National,National,NAT,2016–17,Resuscitation,"56,543",
National,National,NAT,2017–18,Resuscitation,"60,642",
National,National,NAT,2018–19,Resuscitation,"64,515",
National,National,NAT,2019–20,Resuscitation,"66,532",
National,National,NAT,2020–21,Resuscitation,"68,811",
National,National,NAT,2021–22,Resuscitation,"67,589",
National,National,NAT,2011–12,Semi-Urgent,"2,923,231",
National,National,NAT,2012–13,Semi-Urgent,"2,971,536",
National,National,NAT,2013–14,Semi-Urgent,"3,100,559",
National,National,NAT,2014–15,Semi-Urgent,"3,130,356",
National,National,NAT,2015–16,Semi-Urgent,"3,110,520",
National,National,NAT,2016–17,Semi-Urgent,"3,153,383",
National,National,NAT,2017–18,Semi-Urgent,"3,201,449",
National,National,NAT,2018–19,Semi-Urgent,"3,275,094",
National,National,NAT,2019–20,Semi-Urgent,"3,127,982",
National,National,NAT,2020–21,Semi-Urgent,"3,293,576",
National,National,NAT,2021–22,Semi-Urgent,"3,184,019",
National,National,NAT,2011–12,Urgent,"2,200,172",
National,National,NAT,2012–13,Urgent,"2,310,691",
National,National,NAT,2013–14,Urgent,"2,464,328",
National,National,NAT,2014–15,Urgent,"2,578,398",
National,National,NAT,2015–16,Urgent,"2,686,516",
National,National,NAT,2016–17,Urgent,"2,851,977",
National,National,NAT,2017–18,Urgent,"3,002,488",
National,National,NAT,2018–19,Urgent,"3,176,986",
National,National,NAT,2019–20,Urgent,"3,148,837",
National,National,NAT,2020–21,Urgent,"3,297,859",
National,National,NAT,2021–22,Urgent,"3,383,378",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2011–12,Emergency,"2,151",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2012–13,Emergency,"2,081",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2013–14,Emergency,"2,221",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2014–15,Emergency,"2,451",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2015–16,Emergency,"3,323",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2016–17,Emergency,"3,458",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2017–18,Emergency,"3,476",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2018–19,Emergency,"4,011",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2019–20,Emergency,"4,260",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2020–21,Emergency,"4,438",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2021–22,Emergency,"5,150",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2011–12,Non-Urgent,"3,757",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2012–13,Non-Urgent,"2,611",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2013–14,Non-Urgent,"2,401",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2014–15,Non-Urgent,"1,906",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2015–16,Non-Urgent,"1,668",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2016–17,Non-Urgent,"1,802",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2017–18,Non-Urgent,"1,918",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2018–19,Non-Urgent,"2,443",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2019–20,Non-Urgent,"2,351",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2020–21,Non-Urgent,"2,363",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2021–22,Non-Urgent,"2,232",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2011–12,Resuscitation,329,
Albury Wodonga Health [Albury Campus],Hospital,NSW,2012–13,Resuscitation,213,
Albury Wodonga Health [Albury Campus],Hospital,NSW,2013–14,Resuscitation,188,
Albury Wodonga Health [Albury Campus],Hospital,NSW,2014–15,Resuscitation,238,
Albury Wodonga Health [Albury Campus],Hospital,NSW,2015–16,Resuscitation,313,
Albury Wodonga Health [Albury Campus],Hospital,NSW,2016–17,Resuscitation,317,
Albury Wodonga Health [Albury Campus],Hospital,NSW,2017–18,Resuscitation,267,
Albury Wodonga Health [Albury Campus],Hospital,NSW,2018–19,Resuscitation,241,
Albury Wodonga Health [Albury Campus],Hospital,NSW,2019–20,Resuscitation,184,
Albury Wodonga Health [Albury Campus],Hospital,NSW,2020–21,Resuscitation,183,
Albury Wodonga Health [Albury Campus],Hospital,NSW,2021–22,Resuscitation,182,
Albury Wodonga Health [Albury Campus],Hospital,NSW,2011–12,Semi-Urgent,"16,810",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2012–13,Semi-Urgent,"16,637",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2013–14,Semi-Urgent,"16,528",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2014–15,Semi-Urgent,"15,917",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2015–16,Semi-Urgent,"15,849",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2016–17,Semi-Urgent,"15,977",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2017–18,Semi-Urgent,"16,224",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2018–19,Semi-Urgent,"17,124",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2019–20,Semi-Urgent,"16,215",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2020–21,Semi-Urgent,"16,146",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2021–22,Semi-Urgent,"16,221",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2011–12,Urgent,"10,157",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2012–13,Urgent,"10,653",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2013–14,Urgent,"10,924",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2014–15,Urgent,"12,152",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2015–16,Urgent,"12,794",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2016–17,Urgent,"12,869",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2017–18,Urgent,"12,815",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2018–19,Urgent,"12,396",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2019–20,Urgent,"13,081",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2020–21,Urgent,"13,028",
Albury Wodonga Health [Albury Campus],Hospital,NSW,2021–22,Urgent,"14,067",
Armidale Hospital,Hospital,NSW,2011–12,Emergency,790,
Armidale Hospital,Hospital,NSW,2012–13,Emergency,954,
Armidale Hospital,Hospital,NSW,2013–14,Emergency,916,
